"Kind","MatchReason","FullName","OriginalResource","SnapshotTime","LengthBytes","LastWriteTime"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\ZnMm.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 11:57:39","5009","2026/7/13 11:57:39"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\2xfV.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 11:58:11","5015","2026/7/13 11:58:11"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\ugBF.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 11:58:41","5034","2026/7/13 11:58:41"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\VAd7.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 11:58:56","5038","2026/7/13 11:58:56"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\rFoS.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 12:01:05","5111","2026/7/13 12:01:05"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\YeSy.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 12:04:40","5422","2026/7/13 12:04:40"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\3F0D.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 12:08:25","5030","2026/7/13 12:08:25"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\ytmv.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 12:14:40","5788","2026/7/13 12:14:40"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\Ry1V.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 12:17:48","6074","2026/7/13 12:17:48"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\IrU7.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 12:19:43","6207","2026/7/13 12:19:43"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\dHOV.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 12:29:25","6894","2026/7/13 12:29:25"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\vpWV.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 12:30:40","7020","2026/7/13 12:30:40"
"EditorHistory","ContentClue","C:\Users\dicp\AppData\Roaming\Code\User\History\2fd3a2b7\gNm3.md","file:///g:/code/PublicRandomLittleThings/SFI/SFI.md","2026/7/13 12:32:52","7266","2026/7/13 12:32:52"
